Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Togo,2.776,2.668,2.47,2.355,2.202,2.237,2.432,2.486,2.385,2.768,2.96,3.078,3.377,3.175,3.424,3.711,3.662,3.765,4.092,4.202,4.085,4.227,3.778,4.143,,
Tajikistan,2.329,2.377,2.776,2.421,2.772,3.512,3.404,3.413,3.46,4.098,4.007,3.935,4.018,5.294,5.594,4.968,5.731,5.545,5.385,5.484,5.135,4.383,5.398,5.437,,
Timor-Leste,,,,,,,,,8.67,12.902,11.107,10.194,7.162,5.666,7.514,8.467,8.128,7.171,6.848,4.18,3.653,2.974,,5.241,,
Tonga,4.878,4.478,3.795,4.16,3.914,,,,,,,,,,,,,4.636,4.715,4.862,5.049,5.163,5.31,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,14.548,15.516,13.762,12.846,,
Tanzania,,,,,3.562,3.547,3.01,4.033,4.186,3.961,4.542,4.578,4.23,4.638,3.385,4.195,4.102,4.431,3.7,3.597,3.231,3.115,3.238,3.259,3.155,
Uganda,2.462,,,,4.952,,,,,,1.727,2.299,1.797,1.871,1.915,2.322,2.138,2.254,2.131,2.308,2.572,2.636,2.561,,,
Uzbekistan,,,,,,,,,,,,,,5.742,5.713,5.494,5.381,4.482,4.836,6.295,4.44,4.136,5.235,5.473,,
Viet Nam,,,,,,,,,4.887,4.817,4.046,3.78,4.408,4.528,3.54,3.417,3.469,3.419,3.295,3.085,3.217,2.945,2.887,,,
Vanuatu,7.004,8.951,8.132,8.442,,,,,5.952,5.161,,,,,5.173,5.391,7.677,4.534,8.606,1.774,2.174,10.11,10.703,7.581,7.637,
Samoa,3.631,3.977,3.939,,,,,,5.117,,,4.774,4.892,4.615,5.414,4.425,3.981,4.189,4.472,4.584,4.503,5.216,6.16,6.11,5.456,
"Yemen, Rep.",9.662,9.245,,,,,,,5.151,,,,,,,,,,,,,,,,,
Zambia,1.788,,,,2.463,1.736,,1.241,1.1,,3.416,3.358,3.695,3.718,5.152,4.624,3.748,3.73,4.74,4.418,3.944,3.114,3.659,4.074,,
Zimbabwe,,,,,,,,,,,1.544,,6.07,5.996,6.138,,,,,,,,,0.385,,
